id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5771356,Bright Studio in RECOLETA!!,9469833,Florencia,,Retiro,-34.587,-58.38436,Entire home/apt,838,9,66,2019-07-03,1.44,2,72
5772587,Cozy room w/ prvt bthr & best view!,29935158,Marcela,,Belgrano,-34.5524,-58.44906,Private room,209,1,0,,,1,0
5774623,Great 2 bedroom apt. Recoleta (3 ambientes),12355296,Martin,,Recoleta,-34.59294,-58.40313,Entire home/apt,2513,3,6,2018-12-31,0.13,1,77
5780489,AMAZING STUDIO. AWESOME LOCATION,161902,Gustavo,,Palermo,-34.59298,-58.41355,Entire home/apt,1549,3,182,2019-07-06,3.51,15,346
5783673,"Super 2 Bedroom, Palermo,Las Cañitas",26249509,Arvid,,Palermo,-34.57017,-58.43567,Entire home/apt,2303,7,19,2019-01-02,0.38,1,275
5785314,Departamento  Palermo,17721872,Antonio,,Belgrano,-34.55688,-58.44083,Entire home/apt,1633,2,111,2019-06-19,2.40,1,332
5791891,Palermo boutique1,30047791,Nicolás,,Palermo,-34.5812,-58.4415,Private room,1843,1,12,2017-04-20,0.23,4,314
5803809,boutique room4 in Palermo mansion,30047791,Nicolás,,Palermo,-34.5815,-58.44127,Private room,1843,1,74,2019-05-10,1.44,4,308
5804033,Studio Loft in Palermo Soho #3,400828,Jony,,Palermo,-34.58797,-58.4206,Entire home/apt,1591,2,201,2019-07-11,3.86,3,312
5804792,Departamento Excelente ubicacion!!!,30115495,Clara,,Retiro,-34.59841,-58.3862,Entire home/apt,712,20,1,2019-05-25,0.57,1,71
5805454,PRIVATE ROOM IN A BEAUTIFUL HOUSE,6136223,Sabs,,Chacarita,-34.58258,-58.45733,Private room,461,5,0,,,2,365
5825818,Large Room with loft in old style house,6229473,Maria,,Palermo,-34.58975,-58.42236,Private room,1214,1,1,2018-01-20,0.06,10,365
5826235,SOLO MUJERES. ALQUILO CAMA EN DEPTO MONOAMBIENTE,30242891,Victoria,,Palermo,-34.57855,-58.42158,Shared room,293,7,1,2018-03-08,0.06,1,364
5840033,The Little Green House,6431390,Nati,,Palermo,-34.57528,-58.44226,Entire home/apt,1717,2,1,2015-11-17,0.02,2,0
5842228,"Palermo Soho. 3 amb., 45 u$d/noche",25080409,Carlos Jorge,,Palermo,-34.58976,-58.42403,Entire home/apt,1884,1,0,,,1,365
5844151,Exclusive apartment in Palermo,7508118,Ramiro,,Palermo,-34.58581,-58.41885,Entire home/apt,5025,2,3,2015-10-09,0.06,1,365
5844571,Hermosa casa en hermoso Barrio,4627436,Veronica,,Villa Crespo,-34.60638,-58.4448,Private room,2345,1,0,,,1,365
5845534,Your home in the heart of BA,8389331,Pilar,,Retiro,-34.59655,-58.38221,Entire home/apt,1884,4,15,2017-05-26,0.33,1,196
5845655,Luminoso monoambiente en Chacarita,27780145,Miguel Angel,,Chacarita,-34.58695,-58.45112,Entire home/apt,1675,3,1,2017-02-20,0.03,6,173
5846579,Monoambiente/ Studio,30353920,Natalia,,Retiro,-34.59775,-58.38463,Entire home/apt,1256,3,2,2018-02-02,0.06,1,74
5851482,Tu Refugio en San Telmo - Buenos Aires,8488654,Hector,,San Telmo,-34.61613,-58.37137,Entire home/apt,1131,5,6,2018-11-25,0.13,11,98
5858879,Mi casa en Belgrano :),2776576,Carolina,,Coghlan,-34.55994,-58.46837,Private room,879,5,4,2018-12-02,0.08,10,90
5860223,Superb 3 bdrms + 2.5 baths Apt,30427080,Nadereh,,Recoleta,-34.58786,-58.38592,Entire home/apt,7747,4,3,2015-12-29,0.06,1,365
5860360,dispongo de 2 habitaciones ,23007619,Andrea,,Colegiales,-34.5737,-58.45659,Private room,2722,1,0,,,1,365
5867468,Confortable Apartamento Buenos aires centro,10431863,Viviana,,Balvanera,-34.60324,-58.3997,Entire home/apt,1759,4,6,2018-10-07,0.13,1,365
5870865,Sunny Apt for 4. Best view,4404244,Pablo,,Palermo,-34.57521,-58.44198,Entire home/apt,1884,1,41,2019-07-15,0.99,2,339
5872808,Intimate private space,28343136,Vicente,,Constitucion,-34.62329,-58.38789,Private room,461,1,40,2018-11-24,0.79,2,349
5880456,A warm place in the heart of B.A.,30533354,Marta,,Palermo,-34.59002,-58.41303,Entire home/apt,1759,5,61,2019-06-30,1.25,1,333
5880699,del Monte's Temporary Rent,30538320,Emilio Francisco,,Almagro,-34.60947,-58.42432,Entire home/apt,1089,10,2,2018-11-30,0.17,1,345
5883782,Trendy Apt Unique Location Recoleta,757418,Juan Carlos,,Retiro,-34.58978,-58.38325,Entire home/apt,1633,3,141,2019-07-11,2.76,8,147
